"GEOID","NAME","variable","estimate","moe","varlab"
"3604010","NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA; New York","S2801_C02_017",70.1,3.7,"Broadband"
"3604011","NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA; New York","S1501_C02_015",38.8,4,"Education"
"3604011","NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA; New York","S1701_C03_001",17.9,3.6,"Poverty"
"3604011","NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA; New York","S2801_C02_017",76.9,4.6,"Broadband"
"3604012","NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA, New York","S1501_C02_015",30.6,2.2,"Education"
"3604012","NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA, New York","S1701_C03_001",18.1,2.7,"Poverty"
"3604012","NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA, New York","S2801_C02_017",73.1,3.4,"Broadband"
"3604013","NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA, New York","S1501_C02_015",46.9,3,"Education"
"3604013","NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA, New York","S1701_C03_001",14.2,2.6,"Poverty"
"3604013","NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA, New York","S2801_C02_017",68.8,3,"Broadband"
"3604014","NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA; New York","S1501_C02_015",32.4,2.7,"Education"
"3604014","NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA; New York","S1701_C03_001",26.8,4.9,"Poverty"
"3604014","NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA; New York","S2801_C02_017",55.2,4.1,"Broadband"
"3604015","NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA, New York","S1501_C02_015",39.9,3,"Education"
"3604015","NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA, New York","S1701_C03_001",12,2.2,"Poverty"
"3604015","NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA, New York","S2801_C02_017",69.3,3.7,"Broadband"
"3604016","NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA; New York","S1501_C02_015",40.5,2.3,"Education"
"3604016","NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA; New York","S1701_C03_001",11.6,2.3,"Poverty"
"3604016","NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA; New York","S2801_C02_017",77.5,3,"Broadband"
"3604017","NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA, New York","S1501_C02_015",32.9,2.1,"Education"
"3604017","NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA, New York","S1701_C03_001",14.6,2.3,"Poverty"
"3604017","NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA, New York","S2801_C02_017",71.8,2.7,"Broadband"
"3604018","NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA, New York","S1501_C02_015",39.9,3.8,"Education"
"3604018","NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA, New York","S1701_C03_001",25.6,4.4,"Poverty"
"3604018","NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA, New York","S2801_C02_017",65.2,4,"Broadband"
"3604101","NYC-Queens Community District 1--Astoria & Long Island City PUMA, New York","S1501_C02_015",49.8,2.6,"Education"
"3604101","NYC-Queens Community District 1--Astoria & Long Island City PUMA, New York","S1701_C03_001",11.6,2.4,"Poverty"
"3604101","NYC-Queens Community District 1--Astoria & Long Island City PUMA, New York","S2801_C02_017",78.6,2.3,"Broadband"
"3604102","NYC-Queens Community District 3--Jackson Heights & North Corona PUMA, New York","S1501_C02_015",20.9,2.7,"Education"
